Source,Target,Airline
CDG,JFK,AAL
JFK,CDG,AAL
ORY,LHR,IBE
ORY,LHR,BAW
OPO,LIS,TAP
GKA,MAG,TOK
GKA,HGU,TOK
GKA,LAE,TOK
GKA,POM,TOK
GKA,POM,ANG
MAG,GKA,TOK
MAG,HGU,TOK
MAG,LAE,TOK
MAG,POM,ANG
MAG,WWK,TOK
MAG,WWK,ANG
MAG,MAS,ANG
MAG,VAI,ANG
HGU,GKA,TOK
HGU,MAG,TOK
HGU,LAE,TOK
HGU,POM,TOK
HGU,POM,ANG
HGU,WWK,TOK
HGU,WWK,ANG
HGU,MXH,TOK
HGU,TIZ,TOK
HGU,TBG,TOK
LAE,GKA,TOK
LAE,MAG,TOK
LAE,HGU,TOK
LAE,POM,TOK
LAE,POM,ANG
LAE,DAU,TOK
LAE,PNP,TOK
LAE,HKN,TOK
LAE,HKN,ANG
LAE,MAS,TOK
LAE,RAB,TOK
POM,GKA,TOK
POM,GKA,ANG
POM,MAG,ANG
POM,HGU,TOK
POM,HGU,ANG
POM,LAE,TOK
POM,LAE,ANG
POM,WWK,ANG
POM,NAN,ANG
POM,NRT,ANG
POM,MNL,ANG
POM,HKG,ANG
POM,SIN,ANG
POM,BNE,TOK
POM,BNE,ANG
POM,BNE,QFA
POM,BNE,VOZ
POM,CNS,ANG
POM,CNS,QFA
POM,SYD,ANG
POM,SYD,QFA
POM,DPS,ANG
POM,HIR,ANG
POM,CEB,ANG
POM,BUA,ANG
POM,CMU,ANG
POM,DAU,TOK
POM,DAU,ANG
POM,GUR,TOK
POM,GUR,ANG
POM,PNP,TOK
POM,PNP,ANG
POM,HKN,TOK
POM,HKN,ANG
POM,UNG,TOK
POM,UNG,ANG
POM,KVG,ANG
POM,MDU,ANG
POM,MAS,ANG
POM,MXH,TOK
POM,TIZ,TOK
POM,TIZ,ANG
POM,TBG,TOK
POM,TBG,ANG
POM,RAB,TOK
POM,RAB,ANG
POM,VAI,ANG
POM,WBM,ANG
POM,LNV,TOK
POM,LNV,ANG
POM,TFI,TOK
WWK,MAG,TOK
WWK,MAG,ANG
WWK,HGU,TOK
WWK,HGU,ANG
WWK,POM,ANG
WWK,VAI,ANG
UAK,GOH,GRL
UAK,SFJ,GRL
UAK,JFR,GRL
UAK,JJU,GRL
UAK,JNS,GRL
GOH,UAK,GRL
GOH,SFJ,GRL
GOH,KEF,GRL
GOH,RKV,FXI
GOH,JAV,GRL
GOH,KUS,GRL
GOH,JFR,GRL
GOH,JSU,GRL
GOH,JHS,GRL
SFJ,UAK,GRL
SFJ,GOH,GRL
SFJ,CPH,GRL
SFJ,JAV,GRL
SFJ,JEG,GRL
SFJ,KUS,GRL
SFJ,JSU,GRL
SFJ,JHS,GRL
THU,NAQ,GRL
AEY,RKV,FXI
EGS,RKV,FXI
IFJ,RKV,FXI
